#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 322407:7135 | 09/07/18 17:47:22 | 416  | 416  | 0.137078279    | 0.131083131   |
| 322430:7137 | 09/08/18 01:19:19 | 710  | 710  | 0.234627387    | 0.226629950   |
| 322431:7137 | 09/08/18 06:12:25 | 1146 | 1146 | 0.232035375    | 0.224211838   |
| 322480:7139 | 09/08/18 17:33:13 | 320  | 320  | 0.110852937    | 0.104831777   |
| 322492:7139 | 09/08/18 20:56:03 | 1289 | 1289 | 0.278602587    | 0.268914938   |
| 322510:7142 | 09/09/18 08:32:39 | 9    | 9    | 0.002497753    | 0.002228890   |
| 322599:7144 | 09/09/18 15:58:47 | 250  | 250  | 0.099780660    | 0.094350581   |
| 322602:7144 | 09/09/18 17:40:01 | 69   | 69   | 0.025794356    | 0.024109024   |
| 322603:7144 | 09/09/18 18:08:09 | 10   | 10   | 0.003641608    | 0.002693892   |
| 322605:7144 | 09/09/18 18:13:23 | 272  | 272  | 0.090878175    | 0.087736193   |
| 322617:7144 | 09/09/18 21:12:33 | 581  | 581  | 0.137051711    | 0.132127666   |
| 322625:7145 | 09/10/18 03:32:10 | 682  | 682  | 0.211980736    | 0.204040069   |
| 322633:7145 | 09/10/18 10:51:34 | 249  | 249  | 0.052624689    | 0.050945617   |
| 323414:7213 | 09/24/18 01:51:16 | 39   | 39   | 0.006719451    | 0.006204142   |
| 323423:7213 | 09/24/18 05:01:48 | 133  | 133  | 0.021797476    | 0.021037074   |
| 323470:7217 | 09/24/18 13:47:51 | 221  | 221  | 0.084338654    | 0.080200218   |
| 323471:7217 | 09/24/18 15:18:19 | 232  | 232  | 0.080490089    | 0.075495647   |
| 323472:7217 | 09/24/18 16:50:41 | 64   | 64   | 0.020335972    | 0.019315198   |
| 323473:7217 | 09/24/18 17:40:41 | 202  | 202  | 0.057248182    | 0.054519627   |
| 323474:7217 | 09/24/18 19:42:20 | 352  | 352  | 0.080373578    | 0.077807771   |
| 323475:7217 | 09/24/18 22:00:42 | 77   | 77   | 0.014812315    | 0.014194080   |
| 323487:7218 | 09/25/18 03:28:20 | 449  | 449  | 0.160412938    | 0.154166173   |
| 323488:7218 | 09/25/18 06:30:08 | 738  | 738  | 0.191680862    | 0.184914216   |
| 323492:7218 | 09/25/18 11:45:43 | 24   | 24   | 0.005186188    | 0.004990053   |
| 323493:7218 | 09/25/18 11:58:37 | 119  | 119  | 0.024045491    | 0.023276118   |
| 323495:7218 | 09/25/18 12:54:31 | 153  | 153  | 0.027858264    | 0.026754545   |
| 323524:7221 | 09/25/18 22:36:20 | 527  | 527  | 0.178496309    | 0.171941312   |
| 323525:7221 | 09/26/18 02:05:25 | 1117 | 1117 | 0.251759819    | 0.242648282   |
| 323526:7221 | 09/26/18 09:22:43 | 462  | 462  | 0.066501059    | 0.064950697   |
| 323693:7234 | 09/29/18 01:47:53 | 81   | 81   | 0.032341940    | 0.031289953   |
| 323696:7234 | 09/29/18 02:33:10 | 216  | 216  | 0.077934467    | 0.075043557   |
| 323702:7234 | 09/29/18 08:56:34 | 16   | 16   | 0.003631949    | 0.003286277   |
| 323725:7236 | 09/29/18 18:38:39 | 286  | 286  | 0.108303893    | 0.103236428   |
| 323726:7236 | 09/29/18 20:49:58 | 53   | 53   | 0.018453247    | 0.014606471   |
| 323727:7236 | 09/29/18 21:13:04 | 970  | 970  | 0.255625833    | 0.246903637   |
